czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
3300,0.0052994694898577,676184.0,1381652,0.3415868373424027,0.0,0.0,-0.7456084430115765,0.8695529069090241,0.22468793342579751,0.8155339805825242,821685,475627,156007,0.5788434740807,0.18986229516177125,906536,342399,304704,0.3777003891737339,0.3361190289188736
3400,0.0073765245779626,138328.0,271365,0.3116009617201125,0.0,0.0,-0.6423464863865526,-0.6089360328586156,0.2843273231622746,0.2510402219140083,152074,116896,13904,0.7686784065652248,0.09142917263963597,184019,107948,33632,0.5866133388400111,0.18276373635331133
3500,0.0095022595107646,495370.0,806561,0.3389799266578506,0.0,0.0,-0.5366643840271124,0.7410161030276909,0.3509015256588072,0.7919556171983356,418230,249894,80877,0.5975037658704541,0.19337924108743992,645277,276625,190161,0.42869186411417115,0.29469669614754596
3600,0.005161255814453,95233.0,186516,0.3277631614956949,0.0,0.0,-0.7524798132686106,0.18796027630737874,0.217753120665742,0.6061026352288488,114730,78617,14461,0.6852348993288591,0.1260437549028153,127303,67221,25137,0.5280394020565109,0.19745803319638972
3700,0.006023937525745,177492.0,335960,0.3198657746217089,0.0,0.0,-0.7095911089858974,-0.20142969160054025,0.24410540915395285,0.43966712898751736,188498,126562,23346,0.6714235694808433,0.12385277297371855,233201,113961,50201,0.48868143790120966,0.21526923126401687
3800,0.0223508403314481,303131.0,548154,0.3276486202666389,430.45253188026817,0.0,0.1021100052497145,0.18231268600720316,0.665742024965326,0.6033287101248266,291960,205075,38763,0.7024078640909713,0.13276818742293464,397809,203224,94460,0.5108582259325455,0.2374506358579117
3901,0.0106983669218619,125182.0,253878,0.335598074508079,0.0,0.0,-0.4771992343972624,0.5742698968355355,0.37586685159500693,0.7503467406380028,147001,96534,22338,0.6566894102761206,0.1519581499445582,169087,81469,39754,0.48181705275982184,0.2351097364078847
3902,0.0208776804685377,8371.0,21735,0.2783781995696853,0.0,0.0,0.02887103785941058,-2.2470234779830873,0.6296809986130375,0.015256588072122053,12780,9988,1196,0.7815336463223788,0.09358372456964006,11507,7013,1605,0.6094551142782654,0.13948031632919092
4001,0.0434892490511478,12982.0,34162,0.3053025551287483,292.85354087932745,0.0,1.1530178299079585,-0.9194863933279719,0.9112343966712899,0.13730929264909847,22200,15647,2523,0.7048198198198198,0.11364864864864865,18471,10018,3470,0.5423637052677169,0.18786205403064263
4002,0.016607484101609,244132.0,499101,0.3276434523126291,0.0,0.0,-0.18342416535758577,0.18205787394365217,0.5159500693481276,0.6019417475728155,295876,181336,46262,0.6128783679649583,0.15635604104422124,333584,151313,80493,0.4535978943834237,0.24129754424672648
4003,0.0153144986286861,34280.0,74800,0.3172552163313607,0.0,0.0,-0.2477056620720376,-0.3301463449848214,0.478502080443828,0.37586685159500693,40487,25377,7203,0.6267937856595944,0.17790895843110135,46692,22765,12518,0.4875567549044804,0.26809731859847513
4004,0.0286513027603998,10437.0,23459,0.3491068185811456,80.57869057929585,30.692731983912488,0.4153410224634213,1.2403344451502074,0.7697642163661581,0.8890429958391124,14297,11140,1193,0.7791844442890117,0.08344407917744981,15144,9196,2064,0.6072371896460644,0.13629160063391443
