unit_id,occupation,soc_pattern,gpt_exposure
8465,"Other textile, apparel, and furnishings workers",51-609X,0.16463100109144724
8500,Cabinetmakers and bench carpenters,51-7011,0.1176470588235294
8510,Furniture finishers,51-7021,0.0285714285714285
8530,"Sawing machine setters, operators, and tenders, wood",51-7041,0.0588235294117647
8540,"Woodworking machine setters, operators, and tenders, except sawing",51-7042,0.0652173913043478
8555,Other woodworkers,51-70XX,0.08209400104647331
8600,"Power plant operators, distributors, and dispatchers",51-8010,0.21902071076837554
8610,Stationary engineers and boiler operators,51-8021,0.1627906976744186
8620,Water and wastewater treatment plant and system operators,51-8031,0.125
8630,Miscellaneous plant and system operators,51-8090,0.14751838867692527
8640,"Chemical processing machine setters, operators, and tenders",51-9010,0.1494088705004523
8650,"Crushing, grinding, polishing, mixing, and blending workers",51-9020,0.10421938282107773
8710,Cutting workers,51-9030,0.05965909090909083
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,0.075
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,0.16
8740,"Inspectors, testers, sorters, samplers, and weighers",51-9061,0.4166666666666666
8750,Jewelers and precious stone and metal workers,51-9071,0.2053571428571428
8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,0.07424160300089472
8800,Packaging and filling machine operators and tenders,51-9111,0.0
8810,Painting workers,51-9120,0.04128314500236971
8830,Photographic process workers and processing machine operators,51-9151,0.38
8850,Adhesive bonding machine operators and tenders,51-9191,0.064516129032258
8865,Other production equipment operators and tenders,51-919X,0.060372669999796104
8910,Etchers and engravers,51-9194,0.1363636363636363
8920,"Molders, shapers, and casters, except metal and plastic",51-9195,0.07098155467720682
8930,"Paper goods machine setters, operators, and tenders",51-9196,0.0
8940,Tire builders,51-9197,0.0192307692307692
8950,Helpers--production workers,51-9198,0.0888888888888888
8990,Other production workers,51-91XX,0.09220371367492879
9005,Supervisors of transportation and material moving workers,53-1000,0.3
9030,Aircraft pilots and flight engineers,53-2010,0.31176143676143675
9040,Air traffic controllers and airfield operations specialists,53-2020,0.3511911200043264
9050,Flight attendants,53-2031,0.1666666666666666
9110,"Ambulance drivers and attendants, except emergency medical technicians",53-3011,0.0909090909090909
9121,"Bus drivers, school",53-3051,0.3235294117647059
9122,"Bus drivers, transit and intercity",53-3052,0.2407407407407407
9130,Driver/sales workers and truck drivers,53-3030,0.3101878043101758
9141,Shuttle drivers and chauffeurs,53-3053,0.25
9142,Taxi drivers,53-3054,0.28125
9150,"Motor vehicle operators, all other",53-3099,
9210,Locomotive engineers and operators,53-4010,0.27735470509556887
9240,Railroad conductors and yardmasters,53-4031,0.2777777777777778
9265,Other rail transportation workers,53-40XX,0.2780709132137703
9300,Sailors and marine oilers,53-5011,0.0425531914893617
9310,Ship and boat captains and operators,53-5020,0.24723502304147463
9330,Ship engineers,53-5031,0.171875
9350,Parking attendants,53-6021,0.1071428571428571
9365,Transportation service attendants,53-6030,0.13228411835748788
9410,Transportation inspectors,53-6051,0.4125757575757576
9415,Passenger attendants,53-6061,0.2222222222222222
9430,Other transportation workers,53-60XX,0.16037359594416464
9510,Crane and tower operators,53-7021,0.1842105263157894
9570,"Conveyor, dredge, and hoist and winch operators",53-70XX,0.101084672504223
9600,Industrial truck and tractor operators,53-7051,0.03125
9610,Cleaners of vehicles and equipment,53-7061,0.0833333333333333
9620,"Laborers and freight, stock, and material movers, hand",53-7062,0.0417391304347826
9630,Machine feeders and offbearers,53-7063,0.0909090909090909
9640,"Packers and packagers, hand",53-7064,0.1
9645,Stockers and order fillers,53-7065,0.1818181818181818
9650,Pumping station operators,53-7070,0.12677871726129097
9720,Refuse and recyclable material collectors,53-7081,0.1964285714285714
9760,Other material moving workers,53-71XX,0.0714285714285714
9840,Armed Forces (last job),55-0000,
