czone,gpt_exposure,cz_total_emp
10302,0.330321135267255,58480
10400,0.3240438628757987,39600
10501,0.31861224014203493,19666
10502,0.3418656705364665,22822
10600,0.31300362710596674,21971
10700,0.3520981005885365,443130
10801,0.32883112279182947,75574
10802,0.3349692525424441,4910
10900,0.3374277628302061,277217
11001,0.32102659502397235,226283
11002,0.32014953879756375,8509
11101,0.35029267159493743,130886
11102,0.3287256348884949,14049
11201,0.3384218243899666,36279
11202,0.3144183984069372,5416
11203,0.36356968246730276,11741
11301,0.3512807041582894,100810
11302,0.36061492369623727,1100465
11303,0.3117402443101567,8011
11304,0.3934225852148955,2782818
11401,0.3264015557885692,24706
11402,0.30297014791164867,21255
11403,0.3195364552263737,10255
11500,0.32140075768600623,62168
11600,0.35130235131509313,2048206
11700,0.3631954778923296,150396
11800,0.3036263547595857,25240
11900,0.3176602958196956,116722
12001,0.2982162118851977,16109
12002,0.2905237746889121,6700
12100,0.3236787477937054,150896
12200,0.323196789960185,578517
12301,0.3181570637350752,49939
12302,0.29271222556912957,22290
12401,0.3091328681659255,11128
12402,0.29115614373508486,13509
12501,0.34105956985671776,410801
12502,0.30694259678762964,20025
12600,0.31811493660456736,23120
12701,0.3499988223881521,947039
12702,0.3073826267983113,4781
12800,0.31153284211724214,25536
12901,0.336186875460203,209559
12902,0.29573219131996326,4581
12903,0.32516198806325713,9784
13000,0.34529357508134595,37629
13101,0.34321486301403104,513198
13102,0.30190626166634565,10012
13103,0.29244772027369176,16318
13200,0.3189354056736607,34002
13300,0.31012345778821665,63700
13400,0.31128358497908404,74130
13501,0.3225925186763084,292468
13502,0.3124700631279774,20222
13600,0.3273023847270858,199551
13700,0.28700269855808574,177295
13800,0.3087465270744944,32740
13900,0.31407374394604454,39865
14000,0.3189472796667328,95860
14100,0.3284560362261935,213079
14200,0.3490298848825401,948534
14300,0.3305336021247711,48056
14400,0.31786612965392325,60260
14500,0.33290608757910395,100848
14600,0.3502240069223828,84368
14700,0.3242473256810381,140260
14801,0.30012486870704996,5523
14802,0.3299780860474326,12447
14900,0.32075032637856193,223259
15000,0.32080219619935835,233303
15100,0.3108268248176963,126072
15200,0.35167718125236686,1177158
15300,0.3267961579686099,53532
15400,0.3129485143544897,41938
15500,0.3223799569303399,21560
15600,0.32323640137355364,43778
15700,0.32374400062271186,50460
15800,0.3427715685252764,29218
15900,0.3580270894543656,993902
16000,0.31450992020723245,77560
16100,0.3271715177186171,76643
16200,0.3209032972709732,109047
16300,0.3552653552603919,999019
16400,0.3186676098190742,208048
16500,0.31787835597920755,178724
16600,0.3496247206171721,151445
16701,0.32786379567311785,10785
16702,0.3535215649353642,102496
16703,0.3181095941348828,6931
16801,0.3319023766908264,39076
16802,0.3302704072704108,7492
16901,0.3555014283910744,103597
16902,0.3197277929120054,2097
17000,0.3537018442361342,19710
17100,0.3369942741266108,77876
17200,0.31232554329247636,54538
17300,0.3168135179670128,41571
17400,0.31856979217034165,131049
17501,0.3161729297204229,28133
17502,0.3193270762431201,46020
17600,0.35758841570339156,120413
17700,0.33941696533535143,349589
17800,0.31488888711193685,24946
17900,0.3302630517503663,70935
18000,0.34821804095654024,948607
18100,0.3307291954556608,82161
18201,0.31125234172303745,35730
18202,0.3107125370252944,9711
18300,0.32852573147334097,62400
18400,0.3294415125478361,43763
18500,0.3222712230955906,21996
18600,0.3547982879528853,404586
18700,0.30351302311015915,42591
18800,0.31843696109147496,281744
18900,0.3160129217728518,51337
19000,0.32364444458421077,264736
19100,0.3139748725386024,445352
19200,0.3338845783278147,487395
19300,0.3338419358280886,301157
19400,0.37632404776318445,5784406
19500,0.3347635439028196,428806
19600,0.3623711091394417,2649668
19700,0.3529493717937972,2493914
19800,0.3633575459493318,280321
19901,0.3092876876876737,150971
19902,0.3081326689319789,38688
19903,0.326668864443753,9561
20001,0.32785090557186747,104645
20002,0.3297919645312846,7464
20003,0.3114814213217798,22170
20100,0.3489893618705942,303132
20200,0.3467245604818336,125135
20301,0.3119826763639209,20244
20302,0.3417747057076188,94922
20401,0.34126433564202846,604099
20402,0.24943230394681354,5130
20403,0.2822012047902528,5690
20500,0.37602137567835525,2766212
20600,0.34572922626743674,500541
20700,0.3208270414871275,35892
20800,0.3338747655855519,259734
20901,0.3560202170754213,1442623
20902,0.32759569830751745,53319
21001,0.3124783781930398,8172
21002,0.32543022174867936,6265
