"sic","year","emp","pay","prode","prodh","prodw","vship","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","pctnmfg"
3259,1968,9.9,60.6,8.4,17.5,48,171,57.5,116.8,9.6,33,15.1,481.4,252.7,228.7,0.386000007390976,0.180000007152557,0.351000010967255,0.180999994277954,0.0500000007450581,0.675000011920929,0.0500000007450581,0.662000000476837,0
3259,1969,9.9,64.5,8.4,17.3,50.9,184.9,63.8,118.5,6.4,30.8,14.7,477.3,247.1,230.2,0.391999989748001,0.187999993562698,0.36599999666214,0.185000002384186,0.0480000004172325,0.708000004291534,0.0480000004172325,0.694999992847443,0
3259,1970,8.1,57,6.5,13.6,42.2,162.6,55.5,109,5.4,31.2,14.3,457.7,232.4,225.3,0.409000009298325,0.194999992847443,0.386999994516373,0.193000003695488,-0.0390000008046627,0.680999994277954,-0.0390000008046627,0.667999982833862,0
3259,1971,7.8,60.1,6.2,13.1,43.5,185.2,58.9,125.7,4.6,30.3,13.9,442.7,222.3,220.4,0.421999990940094,0.207000002264977,0.409000009298325,0.206000000238419,0.119000002741814,0.76800000667572,0.119000002741814,0.753000020980835,0
3259,1972,8.2,64,6.8,13.5,49.5,180.7,62.6,119.8,7,32.9,16.1,432.8,217.2,215.6,0.428000003099442,0.216999992728233,0.418000012636185,0.224999994039536,-0.0320000015199184,0.742999970912933,-0.0320000015199184,0.728999972343445,0
3259,1973,8.2,68.8,7,13.7,52.8,196,72.8,125.3,8.9,36.9,18.5,420.3,209.7,210.6,0.435999989509583,0.233999997377396,0.430000007152557,0.241999998688698,0.0529999993741512,0.782999992370605,0.0529999993741512,0.768999993801117,0
3259,1974,7.4,58.8,6.1,12.6,43.9,188.5,71.6,116.7,10.9,35.9,19.5,417,209.2,207.8,0.500999987125397,0.28999999165535,0.467999994754791,0.291999995708466,-0.0750000029802322,0.726999998092651,-0.0740000009536743,0.71399998664856,0
3259,1975,6.4,55.6,5.2,10.5,41.1,181,63.5,118.4,9,36.8,21.3,402.9,200.2,202.7,0.578999996185303,0.358999997377396,0.535000026226044,0.377999991178513,-0.00499999988824129,0.723999977111816,-0.00400000018998981,0.711000025272369,0
3259,1976,6.5,60.8,5.3,10.6,44.1,192.7,71.3,121.1,6.9,36.2,25.2,388.7,191.3,197.4,0.603999972343445,0.419999986886978,0.570999979972839,0.476999998092651,0.0450000017881393,0.757000029087067,0.0450000017881393,0.742999970912933,0
3259,1977,5.5,64,4.5,8.9,48.2,214.6,90.4,126.1,6.1,37.2,32.1,380.5,187.9,192.6,0.635999977588654,0.510999977588654,0.617999970912933,0.583999991416931,0.100000001490116,0.837000012397766,0.100000001490116,0.822000026702881,0
